clean_symbol,token,name
MID150CASE,24077,MID150CASE
PIIND,24184,PIIND
CONSUMBEES,2435,CONSUMBEES
LIQUIDSHRI,24374,LIQUIDSHRI
CENTRUM,2454,CENTRUM
SANSTAR,24582,SANSTAR
AVANTEL,24610,AVANTEL
RUBFILA,24730,RUBFILA
SSDL,24856,SSDL
ORIENTPPR,2496,ORIENTPPR
BCLIND,2513,BCLIND
RAYMONDLSL,25073,RAYMONDLSL
TOP10ADD,25171,TOP10ADD
KROSS,25252,KROSS
PANAMAPET,25392,PANAMAPET
INDOUS,25503,INDOUS
FLEXITUFF,25512,FLEXITUFF
HUHTAMAKI,2562,HUHTAMAKI
INDOTHAI,25608,INDOTHAI
MOME50INAV,25621,MOME50INAV
UYFINCORP,25626,UYFINCORP
KRN,25643,KRN
DIFFNKG,25672,DIFFNKG
BANKPSU,25725,BANKPSU
SRD,25737,SRD
VIKASECO,25756,VIKASECO
VAL30IETF,25851,VAL30IETF
AFFORDABLE,25855,AFFORDABLE
MASTERTR,27047,MASTERTR
ACMESOLAR,27061,ACMESOLAR
AUROPHARMA,275,AUROPHARMA
EASEMYTRIP,2792,EASEMYTRIP
LXCHEM,2841,LXCHEM
CEWATER,28764,CEWATER
KITEX,28899,KITEX
CONSUMER,28969,CONSUMER
INDOFARM,29025,INDOFARM
RIIL,2912,RIIL
CARERATING,29113,CARERATING
DENTA,29256,DENTA
SUPREME,29439,SUPREME
ORCHASP,29492,ORCHASP
NIF100BEES,29577,NIF100BEES
KOHINOOR,3009,KOHINOOR
ABFRL,30108,ABFRL
SAMMAANCAP,30125,SAMMAANCAP
BHARATSE,30244,BHARATSE
INDOSTAR,3088,INDOSTAR
UFBL,3127,UFBL
MCX,31181,MCX
ANGELONE,324,ANGELONE
NITIRAJ,3247,NITIRAJ
DEEPINDS,3292,DEEPINDS
SUNPHARMA,3351,SUNPHARMA
SUPREMEIND,3363,SUPREMEIND
SMLMAH,3387,SMLMAH
THERMAX,3475,THERMAX
HEALTHIETF,3626,HEALTHIETF
BEL,383,BEL
VINDHYATEL,3694,VINDHYATEL
VARROC,3857,VARROC
21STCENMGM,4,21STCENMGM
SOMANYCERA,3880,SOMANYCERA
CAPLIPOINT,3906,CAPLIPOINT
BERGEPAINT,404,BERGEPAINT
BEPL,419,BEPL
SILINV,4105,SILINV
HDFCAMC,4244,HDFCAMC
ALKYLAMINE,4487,ALKYLAMINE
GUJRAFFIA,4548,GUJRAFFIA
RAMCOIND,4587,RAMCOIND
ATLASCYCLE,4568,ATLASCYCLE
DODLA,4822,DODLA
PHARMABEES,4973,PHARMABEES
BOMDYEING,513,BOMDYEING
ETERNAL,5097,ETERNAL
TATVA,5162,TATVA
AAREYDRUGS,5245,AAREYDRUGS
EXXARO,5352,EXXARO
CUB,5701,CUB
AXISCETF,5732,AXISCETF
SOUTHBANK,5948,SOUTHBANK
EIFFL,6040,EIFFL
FCL,6198,FCL
MEDICAMEQ,6278,MEDICAMEQ
GENUSPAPER,6600,GENUSPAPER
FOODSIN,6673,FOODSIN
NIPPOBATRY,6782,NIPPOBATRY
MAHKTECH,7074,MAHKTECH
SEJALLTD,7091,SEJALLTD
JMA,7109,JMA
ANANDRATHI,7145,ANANDRATHI
MEDIASSIST,21705,MEDIASSIST
TEXRAIL,21828,TEXRAIL
BANKBETF,21986,BANKBETF
NDRAUTO,22255,NDRAUTO
MODTHREAD,2241,MODTHREAD
ITIETF,22365,ITIETF
TOTAL,22423,TOTAL
HEALTHADD,22592,HEALTHADD
SCILAL,23127,SCILAL
MOS250INAV,23188,MOS250INAV
AQYLON,23365,AQYLON
TARACHAND,23512,TARACHAND
AIIL,23553,AIIL
BALUFORGE,23607,BALUFORGE
TBOTEK,23740,TBOTEK
BSLGOLDETF,23804,BSLGOLDETF
ABSLPSE,23806,ABSLPSE
NELCO,2388,NELCO
RETAIL,24145,RETAIL
BANSALWIRE,24386,BANSALWIRE
EMCURE,24398,EMCURE
MAITHANALL,24538,MAITHANALL
GROWWEV,24798,GROWWEV
MANCREDIT,24823,MANCREDIT
BSLNIFTY,24781,BSLNIFTY
SUYOG,24851,SUYOG
ELGIRUBCO,24924,ELGIRUBCO
MODEFENCE,24944,MODEFENCE
ORIENTTECH,24961,ORIENTTECH
ADANIENT,25,ADANIENT
MULTICAP,25080,MULTICAP
OSWALAGRO,2514,OSWALAGRO
BALAJEE,25203,BALAJEE
TOLINS,25262,TOLINS
